,Unnamed: 0,Unnamed: 0.1,Kline open time,Coin,Open price,Daily Open price pct_change,High price,Daily High price pct_change,Low price,Daily Low price pct_change,Close price,Daily Close price pct_change,relative_strength
3812,3812,82,2023-01-25,DASH/USDT,48.99,-0.0571593533487297,51.94,-0.0183330183330182,48.19,0.0029136316337148,50.46,0.0297959183673468,1.575441520516631
3813,3813,83,2023-01-26,DASH/USDT,50.5,0.0308226168605838,51.18,-0.0146322680015401,49.26,0.0222037767171612,50.82,0.0071343638525565,-3.207742966309029
3814,3814,84,2023-01-27,DASH/USDT,50.79,0.0057425742574257,52.16,0.0191481047284094,49.56,0.0060901339829477,51.73,0.0179063360881541,6.386893910568958
3815,3815,85,2023-01-28,DASH/USDT,51.75,0.0189013585351447,52.18,0.000383435582822,50.0,0.0088781275221951,50.69,-0.0201043881693407,8.997127023302305
3816,3816,86,2023-01-29,DASH/USDT,50.63,-0.0216425120772946,58.3,0.1172863165963971,50.46,0.0092,56.67,0.1179719865851254,3.773825008134923
3817,3817,87,2023-01-30,DASH/USDT,56.68,0.1194943709263283,60.8,0.0428816466552315,55.43,0.0984938565200157,59.22,0.0449973530968765,-1.1661198018140884
3818,3818,88,2023-01-31,DASH/USDT,59.21,0.0446365561044459,62.55,0.028782894736842,58.68,0.0586325094714053,60.23,0.0170550489699425,1.302097484932959
3819,3819,89,2023-02-01,DASH/USDT,60.23,0.0172268197939535,63.82,0.0203037569944044,58.25,-0.0073278800272664,62.92,0.0446621285073884,1.700027204928264
3820,3820,90,2023-02-02,DASH/USDT,62.92,0.0446621285073884,63.99,0.0026637417737387,60.34,0.0358798283261803,61.57,-0.0214558169103623,2.0892975863937164
3821,3821,91,2023-02-03,DASH/USDT,61.6,-0.0209790209790209,64.75,0.0118768557587123,60.9,0.0092807424593965,62.79,0.0198148448919928,-8.159707271692898
3822,3822,92,2023-02-04,DASH/USDT,62.84,0.0201298701298702,63.32,-0.022084942084942,61.0,0.0016420361247948,61.48,-0.0208631947762383,4.6531914494321285
3823,3823,93,2023-02-05,DASH/USDT,61.54,-0.0206874602164227,61.62,-0.0268477574226153,58.2,-0.0459016393442622,59.52,-0.0318802862719582,1.8878134110633016
3824,3824,94,2023-02-06,DASH/USDT,59.55,-0.0323366915827104,64.24,0.0425186627718272,59.0,0.0137457044673539,61.87,0.0394825268817202,-5.31398107606719
3825,3825,95,2023-02-07,DASH/USDT,61.92,0.0397984886649875,66.41,0.0337795765877957,61.7,0.0457627118644068,65.73,0.0623888799094878,2.9713523176911742
3826,3826,96,2023-02-08,DASH/USDT,65.76,0.0620155038759691,66.66,0.003764493299202,62.36,0.0106969205834683,64.0,-0.026319793092956,2.204584799917556
3827,3827,97,2023-02-09,DASH/USDT,64.0,-0.0267639902676399,64.59,-0.0310531053105309,55.26,-0.113855035279025,57.3,-0.1046875,2.0605486328376097
3828,3828,98,2023-02-10,DASH/USDT,57.32,-0.104375,58.72,-0.0908809413221861,56.7,0.0260586319218241,57.8,0.0087260034904013,-1.1112118846576884
3829,3829,99,2023-02-11,DASH/USDT,57.75,0.0075017445917655,62.74,0.0684604904632153,57.67,0.0171075837742504,61.97,0.0721453287197231,6.5729543359305245
3830,3830,100,2023-02-12,DASH/USDT,61.95,0.0727272727272727,63.36,0.0098820529167995,60.62,0.0511531125368474,62.72,0.0121026303049862,-3.3488717905870318
3831,3831,101,2023-02-13,DASH/USDT,62.69,0.0119451170298627,64.47,0.0175189393939394,60.36,-0.0042890135268888,63.14,0.0066964285714286,-15.24262483206873
3832,3832,102,2023-02-14,DASH/USDT,63.15,0.0073376934120275,69.41,0.0766247867225065,62.0,0.027170311464546,68.05,0.0777636997149191,3.975918624654641
3833,3833,103,2023-02-15,DASH/USDT,68.04,0.0774346793349169,74.13,0.0680017288575132,67.65,0.0911290322580646,73.3,0.0771491550330638,0.8062756967857279
3834,3834,104,2023-02-16,DASH/USDT,73.3,0.0773074661963548,77.9,0.0508566032645354,71.68,0.0595713229859571,73.7,0.0054570259208732,-0.1646186689700452
3835,3835,105,2023-02-17,DASH/USDT,73.73,0.0058663028649386,75.09,-0.0360718870346598,70.19,-0.020786830357143,73.19,-0.0069199457259159,-0.15466034307178625
3836,3836,106,2023-02-18,DASH/USDT,73.18,-0.0074596500745964,75.56,0.0062591556798508,71.7,0.0215130360450206,71.99,-0.0163956824702828,-6.499538987163572
3837,3837,107,2023-02-19,DASH/USDT,72.01,-0.0159879748565181,73.47,-0.0276601376389624,70.01,-0.0235704323570432,70.54,-0.0201416863453255,1.37740917563991
